2015-02-11 07:25:30, spooks.local, PE_file, yaramem, /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores, 152

2015-02-11 07:25:33, spooks.local, PE_file, yaramem, /System/Library/CoreServices/CrashReporterSupportHelper, 161

2015-02-11 07:25:37, spooks.local, PE_file, yaramem, /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer, 163

2015-02-11 07:25:40, spooks.local, PE_file, yaramem, /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper, 174

2015-02-11 07:25:41, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/_CodeSignature/CodeResources

2015-02-11 07:25:41, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/AcroExt/AcroExt.app/Contents/MacOS/AcroExt

2015-02-11 07:25:42, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/AcroForm.acroplugin/Contents/MacOS/AcroForm

2015-02-11 07:25:42, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/AcroForm.acroplugin/Contents/Resources/en.lproj/Navigators/FormsDataCollection.nav

2015-02-11 07:25:42, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/AcroForm.acroplugin/Contents/Resources/es.lproj/Navigators/FormsDataCollection.nav

2015-02-11 07:25:42, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/Comments.acroplugin/Contents/MacOS/Comments

2015-02-11 07:25:42, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/Comments.acroplugin/Contents/Resources/en.lproj/10509.swf

2015-02-11 07:25:42, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/Comments.acroplugin/Contents/Resources/en.lproj/20000.pdf

2015-02-11 07:25:42, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/Comments.acroplugin/Contents/Resources/en.lproj/Primary.zbin

2015-02-11 07:25:42, spooks.local, PE_file, yaradisk, /Applications/Adobe Reader.app/Contents/Built-in/Comments.acroplugin/Stamps/ESP/Standard.pdf

